Player,FPTS
Darrell Daniels,32.2
Brevin Jordan,32.2
Marcedes Lewis,32.1
Kyle Markway,32
Kahale Warring,31.2
Thaddeus Moss,31.1
Dede Westbrook,31.1
Reggie Gilliam,30.7
Luke Farrell,29.9
Christian Blake,29.9
Jaylen Samuels,29.7
Nick Vannett,29.6
Durham Smythe,29.5
Brycen Hopkins,29.4
Andy Isabella,28.9
Ryan Griffin,28.8
KeeSean Johnson,28.8
Ray-Ray McCloud,28.7
Ross Dwelley,28.6
Kylen Granson,28.4
Raymond Calais,28.3
Lynn Bowden Jr.,28.2
John Bates,27.8
Hunter Bryant,27.6
Devin Asiasi,27.5
La'Mical Perine,27.4
Chris Moore,26.8
Cedrick Wilson,26.5
Austin Fort,26.2
Derek Carrier,26.1
Miles Boykin,25.2
Jerick McKinnon,24.8
Javon Wims,24.8
Jace Sternberger,24.6
Anthony McFarland Jr.,24.5
Jeff Smith,24
Blake Bell,23.9
Stephen Carlson,23.5
Jalen Hurd,23.2
Noah Brown,22.9
Tyler Johnson,22.8
Jamal Agnew,21.5
Chris Hogan,21.5
Chad Beebe,21.2
Chris Evans,21.1
Andre Roberts,21
Cam Sims,20.7
Cameron Batson,20.7
Ameer Abdullah,20.2
Justice Hill,20.2
Jordan Thomas,20.2
Mike Thomas,20.2
Alex Erickson,19.7
Frank Darby,19.2
Kalif Raymond,19.2
Dontrell Hilliard,19
Eno Benjamin,19
Taylor Heinicke,18.7
Kylin Hill,18.7
Tommy Tremble,18.5
Patrick Ricard,18.3
Tre' McKitty,18.3
Anthony Schwartz,18.3
Kerryon Johnson,18.2
Penny Hart,18
DaeSean Hamilton,17.7
Evan Baylis,17.5
Kawaan Baker,17.2
Jeremy Sprinkle,17.1
Caleb Wilson,17
Tommy Sweeney,16.7
Jeremy McNichols,16.5
Kyle Trask,16.4
Alec Ingold,16.4
Travis Homer,16.4
Trey Edmunds,16.3
J.P. Holtz,16.2
Gerrid Doaks,16
Steven Sims Jr.,16
Josh Adams,15.9
Rico Dowdle,15.6
C.J. Ham,15.5
Lamar Miller,15.4
Daniel Brown,14.9
Albert Wilson,14.8
Nick Westbrook-Ikhine,14.8
Mason Rudolph,14.6
Ito Smith,14.5
JaMycal Hasty,14.5
Devonta Freeman,14.4
Zach Gentry,14.4
Charlie Woerner,14.4
Jacoby Brissett,14.3
Richard Rodgers,14.3
Antonio Gandy-Golden,14.3
Stephen Anderson,14.2
Juwan Johnson,14.2
Jesse James,14.1
Royce Freeman,14
Gary Brightwell,14
Ke'Shawn Vaughn,13.9
Johnny Mundt,13.9
D'Ernest Johnson,13.8
John Ross,13.5
Phillip Walker,13.4
Noah Togiai,13.4
Antony Auclair,13.4
Jordan Howard,13.3
Jordan Wilkins,13.2
Colby Parkinson,13.2
Shi Smith,12.9
Tajae Sharpe,12.6
James Morgan,12.3
D'Onta Foreman,12.1
Kene Nwangwu,12
Lil'Jordan Humphrey,11.7
Alex Armah,11.5
Ihmir Smith-Marsette,11.4
Victor Bolden Jr.,11.4
Josiah Deguara,11.3
Khalil Herbert,11.1
Andrew Beck,11.1
Tim Boyle,10.9
Ty Montgomery,10.9
Reggie Bonnafon,10.8
Diontae Spencer,10.8
Kellen Mond,10.7
Jaelon Darden,10.7
Simi Fehoko,10.7
Joe Flacco,10.6
Buddy Howell,10.6
Josh Oliver,10.6
Cornell Powell,10.6
Marcus Mariota,10.5
Ben Ellefson,10.4
Greg Dortch,10.3
Tony Brooks-James,10.2
Isaiah Hodgins,10.2
Nick Bellore,10.1
Demetric Felton,10.1
Ross Travis,10.1
Riley Ridley,9.9
Marcus Johnson,9.9
Gardner Minshew II,9.8
Luke Stocker,9.7
Chester Rogers,9.6
Trent Taylor,9.4
Mitchell Trubisky,9.3
Alize Mack,9.2
Jakeem Grant Sr.,9.1
Chad Henne,9
Gabe Nabers,8.9
Keith Smith,8.9
Zay Jones,8.8
Dazz Newsome,8.8
Andy Janovich,8.7
Mason Schreck,8.7
Trace McSorley,8.5
